multi_query_id,query_id,selected_plans,total_cost
0,0,q_0_0,-3982.0
0,1,"q_0_1,q_0_10,q_0_11,q_0_12,q_0_18",-3982.0
0,2,"q_0_2,q_0_20",-3982.0
0,3,q_0_3,-3982.0
0,4,q_0_4,-3982.0
0,6,q_0_6,-3982.0
0,7,q_0_7,-3982.0
1,1,"q_1_1,q_1_11,q_1_13,q_1_14,q_1_17",-3982.0
1,2,q_1_2,-3982.0
1,4,q_1_4,-3982.0
1,5,q_1_5,-3982.0
1,6,q_1_6,-3982.0
2,1,"q_2_1,q_2_10,q_2_12,q_2_13,q_2_14,q_2_15,q_2_16,q_2_17,q_2_19",-3982.0
2,2,q_2_2,-3982.0
2,4,q_2_4,-3982.0
2,5,q_2_5,-3982.0
3,0,q_3_0,-3982.0
3,1,"q_3_1,q_3_10,q_3_12,q_3_14",-3982.0
3,2,q_3_2,-3982.0
3,3,q_3_3,-3982.0
3,5,q_3_5,-3982.0
4,0,q_4_0,-3982.0
4,1,"q_4_1,q_4_10,q_4_12,q_4_14,q_4_15,q_4_17,q_4_18,q_4_19",-3982.0
4,2,q_4_2,-3982.0
4,3,q_4_3,-3982.0
4,4,q_4_4,-3982.0
4,5,q_4_5,-3982.0
4,7,q_4_7,-3982.0
5,0,q_5_0,-3982.0
5,1,"q_5_1,q_5_12,q_5_14,q_5_17,q_5_19",-3982.0
5,2,q_5_2,-3982.0
5,3,q_5_3,-3982.0
5,4,q_5_4,-3982.0
6,1,"q_6_11,q_6_12,q_6_13,q_6_15,q_6_18,q_6_19",-3982.0
6,2,q_6_2,-3982.0
6,4,q_6_4,-3982.0
6,5,q_6_5,-3982.0
6,6,q_6_6,-3982.0
7,0,q_7_0,-3982.0
7,1,"q_7_11,q_7_12,q_7_13,q_7_14,q_7_15,q_7_16,q_7_18,q_7_19",-3982.0
7,2,q_7_2,-3982.0
7,3,q_7_3,-3982.0
7,5,q_7_5,-3982.0
8,1,"q_8_1,q_8_10,q_8_12,q_8_13,q_8_14,q_8_15,q_8_16",-3982.0
8,2,q_8_2,-3982.0
8,4,q_8_4,-3982.0
8,5,q_8_5,-3982.0
8,6,q_8_6,-3982.0
9,1,"q_9_10,q_9_12,q_9_15,q_9_17,q_9_18,q_9_19",-3982.0
9,2,"q_9_2,q_9_20,q_9_21",-3982.0
9,3,q_9_3,-3982.0
9,4,q_9_4,-3982.0
9,6,q_9_6,-3982.0
9,7,q_9_7,-3982.0
10,0,q_10_0,-3982.0
10,1,"q_10_1,q_10_11,q_10_12,q_10_18",-3982.0
10,3,q_10_3,-3982.0
10,4,q_10_4,-3982.0
10,5,q_10_5,-3982.0
10,6,q_10_6,-3982.0
11,0,q_11_0,-3982.0
11,1,"q_11_10,q_11_11,q_11_12,q_11_15,q_11_18,q_11_19",-3982.0
11,4,q_11_4,-3982.0
11,5,q_11_5,-3982.0
11,6,q_11_6,-3982.0
12,1,"q_12_10,q_12_11,q_12_14,q_12_15,q_12_16,q_12_17,q_12_18",-3982.0
12,2,q_12_2,-3982.0
12,4,q_12_4,-3982.0
12,5,q_12_5,-3982.0
12,6,q_12_6,-3982.0
13,0,q_13_0,-3982.0
13,1,"q_13_1,q_13_11,q_13_13,q_13_14,q_13_15,q_13_16",-3982.0
13,2,q_13_2,-3982.0
13,3,q_13_3,-3982.0
13,4,q_13_4,-3982.0
13,5,q_13_5,-3982.0
13,6,q_13_6,-3982.0
14,0,q_14_0,-3982.0
14,1,"q_14_1,q_14_12,q_14_13,q_14_16,q_14_17,q_14_18",-3982.0
14,4,q_14_4,-3982.0
14,5,q_14_5,-3982.0
14,6,q_14_6,-3982.0
15,0,q_15_0,-3982.0
15,1,"q_15_1,q_15_10,q_15_14,q_15_15,q_15_18",-3982.0
15,2,q_15_2,-3982.0
15,6,q_15_6,-3982.0
16,1,"q_16_1,q_16_12,q_16_13,q_16_15",-3982.0
16,3,q_16_3,-3982.0
16,4,q_16_4,-3982.0
16,5,q_16_5,-3982.0
17,1,"q_17_10,q_17_11,q_17_13,q_17_14,q_17_16",-3982.0
17,2,q_17_2,-3982.0
17,4,q_17_4,-3982.0
17,5,q_17_5,-3982.0
18,1,"q_18_10,q_18_11,q_18_13,q_18_14",-3982.0
18,2,q_18_2,-3982.0
18,3,q_18_3,-3982.0
18,4,q_18_4,-3982.0
18,6,q_18_6,-3982.0
19,0,q_19_0,-3982.0
19,1,"q_19_10,q_19_11,q_19_12,q_19_13",-3982.0
19,2,q_19_2,-3982.0
19,3,q_19_3,-3982.0
19,4,q_19_4,-3982.0
20,0,q_20_0,-3982.0
20,1,"q_20_1,q_20_10,q_20_12,q_20_14,q_20_15",-3982.0
20,2,q_20_2,-3982.0
20,3,q_20_3,-3982.0
20,4,q_20_4,-3982.0
20,6,q_20_6,-3982.0
21,0,q_21_0,-3982.0
21,1,"q_21_1,q_21_10,q_21_11,q_21_13,q_21_14,q_21_15,q_21_16,q_21_17",-3982.0
21,2,q_21_2,-3982.0
21,3,q_21_3,-3982.0
21,6,q_21_6,-3982.0
22,1,"q_22_1,q_22_11,q_22_13,q_22_14,q_22_15,q_22_16,q_22_17",-3982.0
22,2,q_22_2,-3982.0
22,3,q_22_3,-3982.0
22,4,q_22_4,-3982.0
22,6,q_22_6,-3982.0
22,7,q_22_7,-3982.0
23,1,"q_23_10,q_23_14,q_23_15,q_23_16,q_23_18",-3982.0
23,2,q_23_2,-3982.0
23,3,q_23_3,-3982.0
23,4,q_23_4,-3982.0
23,5,q_23_5,-3982.0
24,0,q_24_0,-3982.0
24,1,"q_24_10,q_24_12,q_24_14,q_24_17,q_24_18,q_24_19",-3982.0
24,2,q_24_2,-3982.0
24,5,q_24_5,-3982.0
24,6,q_24_6,-3982.0
24,7,q_24_7,-3982.0
25,1,"q_25_10,q_25_12,q_25_13,q_25_14,q_25_15,q_25_16",-3982.0
25,3,q_25_3,-3982.0
25,5,q_25_5,-3982.0
25,6,q_25_6,-3982.0
26,1,"q_26_10,q_26_11,q_26_12,q_26_13,q_26_15",-3982.0
26,4,q_26_4,-3982.0
26,5,q_26_5,-3982.0
27,0,q_27_0,-3982.0
27,1,"q_27_1,q_27_11,q_27_13,q_27_14,q_27_15,q_27_16,q_27_17",-3982.0
27,2,q_27_2,-3982.0
27,3,q_27_3,-3982.0
27,4,q_27_4,-3982.0
27,5,q_27_5,-3982.0
28,0,q_28_0,-3982.0
28,1,"q_28_1,q_28_11,q_28_12,q_28_15,q_28_16,q_28_18",-3982.0
28,2,q_28_2,-3982.0
28,3,q_28_3,-3982.0
28,4,q_28_4,-3982.0
28,6,q_28_6,-3982.0
28,7,q_28_7,-3982.0
29,0,q_29_0,-3982.0
29,1,"q_29_1,q_29_12,q_29_13,q_29_17",-3982.0
29,2,q_29_2,-3982.0
29,3,q_29_3,-3982.0
29,5,q_29_5,-3982.0
29,6,q_29_6,-3982.0
30,0,q_30_0,-3982.0
30,1,"q_30_1,q_30_12,q_30_13,q_30_14,q_30_15",-3982.0
30,2,q_30_2,-3982.0
30,3,q_30_3,-3982.0
30,4,q_30_4,-3982.0
30,5,q_30_5,-3982.0
30,6,q_30_6,-3982.0
31,0,q_31_0,-3982.0
31,1,"q_31_1,q_31_10,q_31_11,q_31_15,q_31_16",-3982.0
31,2,q_31_2,-3982.0
31,5,q_31_5,-3982.0
32,0,q_32_0,-3982.0
32,1,"q_32_10,q_32_11,q_32_13,q_32_14,q_32_15,q_32_16,q_32_18",-3982.0
32,4,q_32_4,-3982.0
32,5,q_32_5,-3982.0
33,0,q_33_0,-3982.0
33,1,"q_33_1,q_33_10,q_33_11,q_33_12,q_33_14,q_33_15,q_33_18",-3982.0
33,2,q_33_2,-3982.0
33,3,q_33_3,-3982.0
33,5,q_33_5,-3982.0
33,6,q_33_6,-3982.0
33,7,q_33_7,-3982.0
34,0,q_34_0,-3982.0
34,1,"q_34_1,q_34_11,q_34_14,q_34_15,q_34_18",-3982.0
34,2,q_34_2,-3982.0
34,3,q_34_3,-3982.0
34,7,q_34_7,-3982.0
